Heat-attuned Tower Shield,Chance to Block: 29%,Armour: 220–253,,,"Requires Level 70, 159 Str","Scorch Enemies when you Block their Damage",Shield
Goathide Buckler,Chance to Block: 25%,Evasion Rating: 14–20,,,"Requires Level 2, 13 Dex",3% increased Movement Speed,Shield
Pine Buckler,Chance to Block: 26%,Evasion Rating: 51–66,,,"Requires Level 8, 26 Dex",3% increased Movement Speed,Shield
Painted Buckler,Chance to Block: 24%,Evasion Rating: 123–154,,,"Requires Level 16, 44 Dex",6% increased Movement Speed,Shield
Hammered Buckler,Chance to Block: 27%,Evasion Rating: 116–139,,,"Requires Level 23, 60 Dex",3% increased Movement Speed,Shield
War Buckler,Chance to Block: 26%,Evasion Rating: 169–194,,,"Requires Level 29, 74 Dex",9% increased Movement Speed,Shield
Gilded Buckler,Chance to Block: 25%,Evasion Rating: 225–259,,,"Requires Level 34, 85 Dex",6% increased Movement Speed,Shield
Oak Buckler,Chance to Block: 26%,Evasion Rating: 220–259,,,"Requires Level 38, 94 Dex",3% increased Movement Speed,Shield
Enameled Buckler,Chance to Block: 24%,Evasion Rating: 311–349,,,"Requires Level 42, 103 Dex",6% increased Movement Speed,Shield
Corrugated Buckler,Chance to Block: 27%,Evasion Rating: 227–272,,,"Requires Level 46, 112 Dex",3% increased Movement Speed,Shield
Battle Buckler,Chance to Block: 26%,Evasion Rating: 287–330,,,"Requires Level 50, 121 Dex",9% increased Movement Speed,Shield
Golden Buckler,Chance to Block: 25%,Evasion Rating: 354–407,,,"Requires Level 54, 130 Dex",6% increased Movement Speed,Shield
Ironwood Buckler,Chance to Block: 26%,Evasion Rating: 327–385,,,"Requires Level 57, 137 Dex",3% increased Movement Speed,Shield
Lacquered Buckler,Chance to Block: 24%,Evasion Rating: 477–549,,,"Requires Level 60, 154 Dex",6% increased Movement Speed,Shield
Vaal Buckler,Chance to Block: 27%,Evasion Rating: 330–379,,,"Requires Level 63, 159 Dex",3% increased Movement Speed,Shield
Crusader Buckler,Chance to Block: 26%,Evasion Rating: 385–442,,,"Requires Level 66, 159 Dex",9% increased Movement Speed,Shield
Imperial Buckler,Chance to Block: 25%,Evasion Rating: 440–506,,,"Requires Level 69, 159 Dex",6% increased Movement Speed,Shield
Endothermic Buckler,Chance to Block: 24%,Evasion Rating: 75–86,,,"Requires Level 30, 76 Dex","Inflict Brittle on Enemies when you Block their Damage",Shield
Polar Buckler,Chance to Block: 26%,Evasion Rating: 123–142,,,"Requires Level 50, 121 Dex","Inflict Brittle on Enemies when you Block their Damage",Shield
Cold-attuned Buckler,Chance to Block: 28%,Evasion Rating: 206–237,,,"Requires Level 70, 159 Dex","Inflict Brittle on Enemies when you Block their Damage",Shield
Twig Spirit Shield,Chance to Block: 22%,Energy Shield: 6–8,,,"Requires Level 3, 15 Int",(10–15)% increased Spell Damage",Shield
Yew Spirit Shield,Chance to Block: 24%,Energy Shield: 11–14,,,"Requires Level 9, 29 Int",(5–10)% increased Spell Damage",Shield
Bone Spirit Shield,Chance to Block: 22%,Energy Shield: 15–19,,,"Requires Level 15, 42 Int",Minions deal (5–10)% increased Damage",Shield
Tarnished Spirit Shield,Chance to Block: 24%,Energy Shield: 21–25,,,"Requires Level 23, 60 Int",(5–10)% increased Spell Damage",Shield
Jingling Spirit Shield,Chance to Block: 23%,Energy Shield: 25–29,,,"Requires Level 28, 71 Int",(10–15)% increased Spell Damage",Shield
Brass Spirit Shield,Chance to Block: 25%,Energy Shield: 35–40,,,"Requires Level 33, 83 Int",,Shield
Walnut Spirit Shield,Chance to Block: 24%,Energy Shield: 32–38,,,"Requires Level 37, 92 Int",(5–10)% increased Spell Damage",Shield
Ivory Spirit Shield,Chance to Block: 22%,Energy Shield: 35–40,,,"Requires Level 41, 101 Int",Minions deal (5–10)% increased Damage",Shield
Ancient Spirit Shield,Chance to Block: 24%,Energy Shield: 38–45,,,"Requires Level 45, 110 Int",(5–10)% increased Spell Damage",Shield
Chiming Spirit Shield,Chance to Block: 23%,Energy Shield: 42–48,,,"Requires Level 49, 119 Int",(10–15)% increased Spell Damage",Shield
Thorium Spirit Shield,Chance to Block: 25%,Energy Shield: 54–62,,,"Requires Level 53, 128 Int",,Shield
Lacewood Spirit Shield,Chance to Block: 24%,Energy Shield: 47–55,,,"Requires Level 56, 134 Int",(5–10)% increased Spell Damage",Shield
Fossilised Spirit Shield,Chance to Block: 22%,Energy Shield: 49–55,,,"Requires Level 59, 141 Int",Minions deal (5–10)% increased Damage",Shield
Vaal Spirit Shield,Chance to Block: 24%,Energy Shield: 56–64,,,"Requires Level 62, 159 Int",(5–10)% increased Spell Damage",Shield
Harmonic Spirit Shield,Chance to Block: 23%,Energy Shield: 58–66,,,"Requires Level 65, 159 Int",(10–15)% increased Spell Damage",Shield
Titanium Spirit Shield,Chance to Block: 25%,Energy Shield: 67–77,,,"Requires Level 68, 159 Int",,Shield
Exhausting Spirit Shield,Chance to Block: 22%,Energy Shield: 16–19,,,"Requires Level 30, 76 Int","Sap Enemies when you Block their Damage",Shield
Subsuming Spirit Shield,Chance to Block: 24%,Energy Shield: 25–29,,,"Requires Level 50, 121 Int","Sap Enemies when you Block their Damage",Shield
Transfer-attuned Spirit Shield,Chance to Block: 26%,Energy Shield: 39–45,,,"Requires Level 70, 159 Int","Sap Enemies when you Block their Damage",Shield
Rotted Round Shield,Chance to Block: 24%,Armour: 13–18,Evasion Rating: 13–18,,"Requires Level 5, 11 Str, 11 Dex",60% Reduced Stun duration,Shield
Fir Round Shield,Chance to Block: 24%,Armour: 29–37,Evasion Rating: 29–37,,"Requires Level 12, 19 Str, 19 Dex",180% Reduced Stun duration,Shield
Studded Round Shield,Chance to Block: 27%,Armour: 46–58,Evasion Rating: 46–58,,"Requires Level 20, 29 Str, 29 Dex",60% Reduced Stun duration,Shield
Scarlet Round Shield,Chance to Block: 26%,Armour: 87–100,Evasion Rating: 87–100,,"Requires Level 27, 37 Str, 37 Dex",,Shield
Splendid Round Shield,Chance to Block: 25%,Armour: 75–86,Evasion Rating: 75–86,,"Requires Level 33, 44 Str, 44 Dex",120% Reduced Stun duration,Shield
Maple Round Shield,Chance to Block: 24%,Armour: 88–99,Evasion Rating: 88–99,,"Requires Level 39, 52 Str, 52 Dex",180% Reduced Stun duration,Shield
Spiked Round Shield,Chance to Block: 27%,Armour: 102–120,Evasion Rating: 102–120,,"Requires Level 45, 59 Str, 59 Dex",60% Reduced Stun duration,Shield
Crimson Round Shield,Chance to Block: 26%,Armour: 155–178,Evasion Rating: 155–178,,"Requires Level 49, 64 Str, 64 Dex",,Shield
Baroque Round Shield,Chance to Block: 25%,Armour: 122–140,Evasion Rating: 122–140,,"Requires Level 54, 70 Str, 70 Dex",120% Reduced Stun duration,Shield
Teak Round Shield,Chance to Block: 24%,Armour: 131–146,Evasion Rating: 131–146,,"Requires Level 58, 74 Str, 74 Dex",180% Reduced Stun duration,Shield
Spiny Round Shield,Chance to Block: 27%,Armour: 154–177,Evasion Rating: 154–177,,"Requires Level 62, 85 Str, 85 Dex",60% Reduced Stun duration,Shield
Cardinal Round Shield,Chance to Block: 26%,Armour: 209–240,Evasion Rating: 209–240,,"Requires Level 66, 85 Str, 85 Dex",,Shield
Elegant Round Shield,Chance to Block: 25%,Armour: 148–170,Evasion Rating: 148–170,,"Requires Level 70, 85 Str, 85 Dex",120% Reduced Stun duration,Shield
Plank Kite Shield,Chance to Block: 22%,Armour: 18–25,Energy Shield: 5–7,,"Requires Level 7, 13 Str, 13 Int",+4% to all Elemental Resistances,Shield
Linden Kite Shield,Chance to Block: 24%,Armour: 43–56,Energy Shield: 11–14,,"Requires Level 13, 20 Str, 20 Int",+4% to all Elemental Resistances,Shield
Reinforced Kite Shield,Chance to Block: 26%,Armour: 65–81,Energy Shield: 15–18,,"Requires Level 20, 29 Str, 29 Int",,Shield
Layered Kite Shield,Chance to Block: 24%,Armour: 62–73,Energy Shield: 13–16,,"Requires Level 27, 37 Str, 37 Int",+8% to all Elemental Resistances,Shield
Ceremonial Kite Shield,Chance to Block: 22%,Armour: 77–89,Energy Shield: 16–19,,"Requires Level 34, 46 Str, 46 Int",+12% to all Elemental Resistances,Shield
Etched Kite Shield,Chance to Block: 24%,Armour: 127–142,Energy Shield: 27–30,,"Requires Level 40, 53 Str, 53 Int",+4% to all Elemental Resistances,Shield
Steel Kite Shield,Chance to Block: 26%,Armour: 146–167,Energy Shield: 30–35,,"Requires Level 46, 60 Str, 60 Int",,Shield
Laminated Kite Shield,Chance to Block: 24%,Armour: 113–133,Energy Shield: 23–27,,"Requires Level 50, 65 Str, 65 Int",+8% to all Elemental Resistances,Shield
Angelic Kite Shield,Chance to Block: 22%,Armour: 124–142,Energy Shield: 25–29,,"Requires Level 55, 71 Str, 71 Int",+12% to all Elemental Resistances,Shield
Branded Kite Shield,Chance to Block: 24%,Armour: 186–208,Energy Shield: 38–43,,"Requires Level 59, 76 Str, 76 Int",+4% to all Elemental Resistances,Shield
Champion Kite Shield,Chance to Block: 26%,Armour: 215–247,Energy Shield: 44–50,,"Requires Level 62, 85 Str, 85 Int",,Shield
Mosaic Kite Shield,Chance to Block: 24%,Armour: 147–169,Energy Shield: 30–34,,"Requires Level 65, 85 Str, 85 Int",+8% to all Elemental Resistances,Shield
Archon Kite Shield,Chance to Block: 22%,Armour: 156–179,Energy Shield: 32–37,,"Requires Level 68, 85 Str, 85 Int",+12% to all Elemental Resistances,Shield
Spiked Bundle,Chance to Block: 24%,Evasion Rating: 13–18,Energy Shield: 4–6,,"Requires Level 5, 11 Dex, 11 Int",+3% chance to Suppress Spell Damage,Shield
Driftwood Spiked Shield,Chance to Block: 24%,Evasion Rating: 46–60,Energy Shield: 11–15,,"Requires Level 12, 19 Dex, 19 Int",+3% chance to Suppress Spell Damage,Shield
Alloyed Spiked Shield,Chance to Block: 25%,Evasion Rating: 56–70,Energy Shield: 13–16,,"Requires Level 20, 29 Dex, 29 Int",+3% chance to Suppress Spell Damage,Shield
Burnished Spiked Shield,Chance to Block: 26%,Evasion Rating: 62–73,Energy Shield: 13–16,,"Requires Level 27, 37 Dex, 37 Int",+5% chance to Suppress Spell Damage,Shield
Ornate Spiked Shield,Chance to Block: 24%,Evasion Rating: 120–135,Energy Shield: 26–29,,"Requires Level 33, 44 Dex, 44 Int",+5% chance to Suppress Spell Damage,Shield
Redwood Spiked Shield,Chance to Block: 24%,Evasion Rating: 142–163,Energy Shield: 30–34,,"Requires Level 39, 52 Dex, 52 Int",+3% chance to Suppress Spell Damage,Shield
Compound Spiked Shield,Chance to Block: 25%,Evasion Rating: 122–144,Energy Shield: 25–30,,"Requires Level 45, 59 Dex, 59 Int",+3% chance to Suppress Spell Damage,Shield
Polished Spiked Shield,Chance to Block: 26%,Evasion Rating: 111–131,Energy Shield: 23–27,,"Requires Level 49, 64 Dex, 64 Int",+5% chance to Suppress Spell Damage,Shield
Sovereign Spiked Shield,Chance to Block: 24%,Evasion Rating: 195–218,Energy Shield: 40–45,,"Requires Level 54, 70 Dex, 70 Int",+5% chance to Suppress Spell Damage,Shield
Alder Spiked Shield,Chance to Block: 24%,Evasion Rating: 209–240,Energy Shield: 43–49,,"Requires Level 58, 74 Dex, 74 Int",+3% chance to Suppress Spell Damage,Shield
Ezomyte Spiked Shield,Chance to Block: 25%,Evasion Rating: 181–209,Energy Shield: 37–43,,"Requires Level 62, 85 Dex, 85 Int",+3% chance to Suppress Spell Damage,Shield
Mirrored Spiked Shield,Chance to Block: 26%,Evasion Rating: 151–174,Energy Shield: 31–35,,"Requires Level 66, 85 Dex, 85 Int",+5% chance to Suppress Spell Damage,Shield
Supreme Spiked Shield,Chance to Block: 24%,Evasion Rating: 242–278,Energy Shield: 49–57,,"Requires Level 70, 85 Dex, 85 Int",+5% chance to Suppress Spell Damage,Shield
